"title","rating","releaseDate","genres","poster"
"Spider-Man: Into the Spider-Verse (2018)","8.4","14 December 2018 (USA)","[""Animation"",""Action"",""Adventure""]","https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_UX182_CR0,0,182,268_AL_.jpg"
"Joker (2019)","8.8","4 October 2019 (USA)","[""Crime"",""Drama"",""Thriller""]","https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
